metric,value,unit,timestamp
weight,285.4,lbs,04-09-2022 03:14
fat,37.9,%,04-09-2022 03:14
BMI,40.9,%,04-09-2022 03:14
BMR,2367.0,kcal/day,04-09-2022 03:14
visceral_fat,33.0,,04-09-2022 03:14
muscle,171.5,lbs,04-09-2022 03:14
bone_mass,5.9,lbs,04-09-2022 03:14
protein,12.3,%,04-09-2022 03:14
water,47.8,%,04-09-2022 03:14
skeletal_muscle,91.2,lbs,04-09-2022 03:14

weight,266.0,lbs,04-30-2024 19:25
fat,36.1,%,04-30-2024 19:25
BMI,38.1,%,04-30-2024 19:25
BMR,2242.0,kcal/day,04-30-2024 19:25
visceral_fat,30.0,,04-30-2024 19:25
muscle,163.5,lbs,04-30-2024 19:25
bone_mass,6.1,lbs,04-30-2024 19:25
protein,12.9,%,04-30-2024 19:25
water,48.5,%,04-30-2024 19:25
skeletal_muscle,87.9,lbs,04-30-2024 19:25

weight,271.6,lbs,07-17-2025 20:42
fat,36.7,%,07-17-2025 20:42
BMI,38.9,%,07-17-2025 20:42
BMR,2271.0,kcal/day,07-17-2025 20:42
visceral_fat,31.0,,07-17-2025 20:42
muscle,165.7,lbs,07-17-2025 20:42
bone_mass,6.1,lbs,07-17-2025 20:42
protein,12.7,%,07-17-2025 20:42
water,48.3,%,07-17-2025 20:42
skeletal_muscle,88.8,lbs,07-17-2025 20:42

weight,267.4,lbs,07-24-2025 09:59
fat,36.3,%,07-24-2025 09:59
BMI,38.3,%,07-24-2025 09:59
BMR,2246.0,kcal/day,07-24-2025 09:59
visceral_fat,30.0,,07-24-2025 09:59
muscle,164.0,lbs,07-24-2025 09:59
bone_mass,6.1,lbs,07-24-2025 09:59
protein,12.9,%,07-24-2025 09:59
water,48.5,%,07-24-2025 09:59
skeletal_muscle,88.1,lbs,07-24-2025 09:59

weight,262.1,lbs,07-31-2025 06:01
fat,35.7,%,07-31-2025 06:01
BMI,37.5,%,07-31-2025 06:01
BMR,2214.0,kcal/day,07-31-2025 06:01
visceral_fat,29.0,,07-31-2025 06:01
muscle,162.0,lbs,07-31-2025 06:01
bone_mass,6.3,lbs,07-31-2025 06:01
protein,13.1,%,07-31-2025 06:01
water,48.7,%,07-31-2025 06:01
skeletal_muscle,87.0,lbs,07-31-2025 06:01

weight,256.6,lbs,08-07-2025 06:14
fat,35.2,%,08-07-2025 06:14
BMI,36.7,%,08-07-2025 06:14
BMR,2181.0,kcal/day,08-07-2025 06:14
visceral_fat,28.0,,08-07-2025 06:14
muscle,159.8,lbs,08-07-2025 06:14
bone_mass,6.3,lbs,08-07-2025 06:14
protein,13.3,%,08-07-2025 06:14
water,48.9,%,08-07-2025 06:14
skeletal_muscle,86.1,lbs,08-07-2025 06:14

weight,249.5,lbs,08-14-2025 09:14
fat,34.4,%,08-14-2025 09:14
BMI,35.7,%,08-14-2025 09:14
BMR,2139.0,kcal/day,08-14-2025 09:14
visceral_fat,27.0,,08-14-2025 09:14
muscle,157.1,lbs,08-14-2025 09:14
bone_mass,6.3,lbs,08-14-2025 09:14
protein,13.7,%,08-14-2025 09:14
water,49.3,%,08-14-2025 09:14
skeletal_muscle,84.8,lbs,08-14-2025 09:14

weight,245.8,lbs,08-21-2025 09:22
fat,34.0,%,08-21-2025 09:22
BMI,35.2,%,08-21-2025 09:22
BMR,2117.0,kcal/day,08-21-2025 09:22
visceral_fat,26.0,,08-21-2025 09:22
muscle,155.6,lbs,08-21-2025 09:22
bone_mass,6.3,lbs,08-21-2025 09:22
protein,13.9,%,08-21-2025 09:22
water,49.4,%,08-21-2025 09:22
skeletal_muscle,84.2,lbs,08-21-2025 09:22

weight,238.0,lbs,08-28-2025 06:23
fat,33.1,%,08-28-2025 06:23
BMI,34.1,%,08-28-2025 06:23
BMR,2071.0,kcal/day,08-28-2025 06:23
visceral_fat,25.0,,08-28-2025 06:23
muscle,152.5,lbs,08-28-2025 06:23
bone_mass,6.6,lbs,08-28-2025 06:23
protein,14.3,%,08-28-2025 06:23
water,49.8,%,08-28-2025 06:23
skeletal_muscle,82.8,lbs,08-28-2025 06:23
weight,234.1,lbs,09-04-2025 12:29
fat,32.5,%,09-04-2025 12:29
BMI,33.5,%,09-04-2025 12:29
BMR,2051.0,kcal/day,09-04-2025 12:29
visceral_fat,24.0,,09-04-2025 12:29
muscle,151.4,lbs,09-04-2025 12:29
bone_mass,6.6,lbs,09-04-2025 12:29
protein,14.6,%,09-04-2025 12:29
water,50.1,%,09-04-2025 12:29
skeletal_muscle,82.6,lbs,09-04-2025 12:29
,,,
